Student_ID,Course_ID,Grade
S0001,C010,D
S0001,C001,C
S0001,C008,B
S0001,C004,A
S0001,C009,C
S0002,C008,B
S0002,C009,B
S0002,C001,B
S0002,C006,B
S0003,C010,A
S0003,C004,A
S0003,C009,A
S0003,C005,A
S0003,C008,A
S0004,C009,F
S0004,C004,B
S0004,C007,C
S0004,C010,B
S0005,C009,A
S0005,C004,A
S0005,C003,B
S0006,C009,D
S0006,C010,D
S0006,C007,A
S0006,C002,D
S0006,C006,C
S0007,C001,D
S0007,C010,B
S0007,C009,B
S0007,C005,C
S0008,C001,A
S0008,C002,A
S0008,C006,D
S0008,C010,C
S0008,C007,A
S0009,C008,A
S0009,C004,D
S0009,C005,B
S0009,C001,C
S0010,C005,C
S0010,C008,B
S0010,C006,B
S0011,C007,A
S0011,C001,D
S0011,C003,A
S0012,C002,D
S0012,C008,A
S0012,C004,C
S0012,C007,C
S0012,C009,B
S0013,C002,D
S0013,C001,B
S0013,C006,B
S0013,C010,B
S0013,C008,D
S0014,C010,C
S0014,C001,D
S0014,C002,A
S0015,C001,B
S0015,C006,A
S0015,C007,C
S0016,C004,A
S0016,C009,D
S0016,C006,B
S0016,C005,B
S0016,C002,B
S0017,C010,C
S0017,C007,A
S0017,C005,A
S0017,C006,A
S0017,C008,B
S0018,C002,A
S0018,C006,B
S0018,C010,B
S0018,C008,D
S0019,C002,C
S0019,C004,D
S0019,C001,A
S0019,C010,B
S0019,C008,D
S0020,C003,B
S0020,C002,B
S0020,C005,A
S0020,C008,F
S0020,C004,A
S0021,C005,B
S0021,C008,A
S0021,C004,C
S0021,C007,B
S0022,C007,D
S0022,C010,D
S0022,C004,F
S0022,C003,C
S0022,C008,C
S0023,C002,B
S0023,C003,A
S0023,C001,C
S0024,C009,B
S0024,C001,D
S0024,C010,D
S0025,C002,A
S0025,C009,B
S0025,C007,A
S0025,C005,D
S0026,C004,A
S0026,C006,C
S0026,C008,F
S0027,C005,D
S0027,C008,D
S0027,C003,C
S0028,C009,B
S0028,C002,B
S0028,C004,D
S0029,C009,B
S0029,C004,C
S0029,C007,C
S0029,C003,A
S0030,C005,B
S0030,C003,C
S0030,C004,A
S0030,C002,B
S0030,C010,C
S0031,C009,B
S0031,C003,F
S0031,C008,B
S0031,C010,C
S0032,C002,D
S0032,C008,A
S0032,C010,D
S0032,C005,A
S0032,C001,B
S0033,C006,A
S0033,C002,A
S0033,C003,C
S0033,C008,B
S0033,C009,F
S0034,C003,B
S0034,C005,A
S0034,C008,B
S0034,C010,C
S0035,C005,D
S0035,C006,A
S0035,C004,A
S0035,C010,D
S0036,C001,C
S0036,C009,C
S0036,C010,A
S0036,C003,B
S0036,C008,A
S0037,C007,C
S0037,C010,A
S0037,C001,B
S0037,C009,B
S0038,C005,A
S0038,C010,C
S0038,C001,D
S0039,C002,A
S0039,C005,B
S0039,C010,B
S0039,C006,B
S0039,C008,B
S0040,C005,D
S0040,C008,B
S0040,C001,D
S0041,C010,B
S0041,C005,D
S0041,C003,B
S0041,C007,C
S0042,C009,B
S0042,C005,A
S0042,C002,A
S0042,C007,B
S0043,C005,D
S0043,C009,A
S0043,C002,F
S0043,C006,D
S0044,C008,A
S0044,C006,A
S0044,C010,A
S0044,C007,B
S0044,C005,C
S0045,C002,A
S0045,C006,B
S0045,C010,C
S0046,C009,B
S0046,C006,B
S0046,C005,B
S0047,C007,B
S0047,C006,B
S0047,C008,C
S0047,C004,B
S0047,C003,D
S0048,C004,A
S0048,C003,C
S0048,C009,A
S0048,C007,B
S0048,C002,A
S0049,C006,F
S0049,C004,C
S0049,C003,D
S0050,C006,C
S0050,C010,C
S0050,C007,D
S0051,C004,A
S0051,C005,A
S0051,C001,B
S0051,C003,C
S0051,C007,D
S0052,C009,B
S0052,C010,A
S0052,C003,F
S0052,C008,D
S0053,C006,A
S0053,C005,F
S0053,C004,B
S0054,C010,B
S0054,C007,C
S0054,C001,B
S0054,C005,C
S0054,C006,A
S0055,C004,A
S0055,C002,B
S0055,C005,B
S0056,C002,B
S0056,C003,A
S0056,C001,D
S0057,C001,D
S0057,C006,B
S0057,C002,C
S0058,C008,A
S0058,C004,B
S0058,C001,D
S0058,C003,D
S0059,C008,A
S0059,C009,D
S0059,C003,A
S0059,C010,C
S0059,C004,B
S0060,C004,A
S0060,C007,A
S0060,C010,C
S0060,C009,B
S0061,C008,B
S0061,C002,B
S0061,C005,B
S0061,C006,A
S0061,C001,F
S0062,C010,A
S0062,C007,B
S0062,C003,B
S0063,C001,B
S0063,C002,B
S0063,C006,A
S0063,C008,B
S0064,C004,A
S0064,C006,D
S0064,C002,C
S0065,C001,D
S0065,C007,A
S0065,C008,C
S0065,C010,A
S0066,C003,B
S0066,C006,A
S0066,C002,C
S0066,C007,C
S0066,C004,B
S0067,C009,F
S0067,C005,B
S0067,C002,C
S0068,C003,B
S0068,C001,D
S0068,C005,B
S0068,C002,C
S0068,C006,A
S0069,C004,A
S0069,C005,C
S0069,C010,C
S0069,C002,D
S0069,C007,B
S0070,C003,F
S0070,C009,B
S0070,C004,B
S0070,C002,B
S0070,C008,C
S0071,C004,A
S0071,C009,D
S0071,C010,C
S0071,C007,A
S0072,C003,A
S0072,C009,C
S0072,C005,A
S0072,C010,A
S0073,C009,C
S0073,C010,B
S0073,C004,C
S0073,C008,A
S0074,C002,D
S0074,C008,C
S0074,C005,B
S0074,C010,A
S0074,C009,A
S0075,C009,A
S0075,C004,B
S0075,C006,D
S0075,C001,B
S0076,C001,A
S0076,C003,B
S0076,C010,C
S0076,C002,C
S0077,C009,B
S0077,C007,B
S0077,C003,B
S0077,C008,D
S0078,C005,D
S0078,C004,B
S0078,C010,B
S0078,C003,A
S0079,C001,C
S0079,C002,A
S0079,C009,A
S0079,C004,F
S0079,C007,A
S0080,C001,B
S0080,C008,A
S0080,C006,D
S0081,C003,B
S0081,C007,B
S0081,C004,B
S0081,C001,A
S0082,C007,C
S0082,C004,B
